t,phase,clearance,horizontal_error_gt,tag_valid,tag_age,tag_weight,yolo_visible,yolo_confidence,coarse_vx,coarse_vy,tag_vx,tag_vy,cmd_vx,cmd_vy,cmd_vz,uav_x,uav_y,uav_z,vehicle_x,vehicle_y,mode,armed
1.232,TAKEOFF,-2.1255293129358597,59.98642197642238,0,9.856,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.01908300630748272,0.004763623233884573,-0.008101225830614567,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.264,TAKEOFF,-2.125529380579853,59.98642341245389,0,9.888,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.020094897598028183,0.0045593902468681335,-0.008154080249369144,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.296,TAKEOFF,-2.1255294329824332,59.98641306273334,0,9.92,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.02111714705824852,0.004338365979492664,-0.008379136212170124,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.332,TAKEOFF,-2.1255295000048284,59.98615230636963,0,9.956,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.02240017056465149,0.004047588910907507,-0.008575710467994213,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.3639999999999999,TAKEOFF,-2.1255295592800896,59.98639454016343,0,9.988,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.02344096265733242,0.0037877822760492563,-0.008660542778670788,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.396,TAKEOFF,-2.1255296185986454,59.986763823668376,0,10.02,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.024112466722726822,0.0036081024445593357,-0.008697159588336945,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.432,TAKEOFF,-2.1255296852685017,59.987830081382775,0,10.056,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.023717686533927917,0.003674010280519724,-0.008743025362491608,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.464,TAKEOFF,-2.1255297443996772,59.98762194465336,0,10.088,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.023531056940555573,0.003689217148348689,-0.008834036067128181,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.496,TAKEOFF,-2.1255298108097205,59.98761892017344,0,10.12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.023347461596131325,0.003689730539917946,-0.008914375677704811,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.532,TAKEOFF,-2.1255298696056126,59.98758275278576,0,10.156,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.02320004440844059,0.0036618560552597046,-0.008981060236692429,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.564,TAKEOFF,-2.125529935642329,59.987492366255466,0,10.188,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.02314302697777748,0.0035942317917943,-0.008962755091488361,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.596,TAKEOFF,-2.1255299939713916,59.98743486206307,0,10.22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.023143524304032326,0.0034992920700460672,-0.008886406198143959,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.6320000000000001,TAKEOFF,-2.1255300522902845,59.98735613156324,0,10.256,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.02322276681661606,0.0033481766004115343,-0.00886091310530901,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.6640000000000001,TAKEOFF,-2.1255301104727216,59.987345980991805,0,10.288,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.02331215888261795,0.003252453403547406,-0.00887165404856205,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.696,TAKEOFF,-2.1255301681410126,59.987287616640614,0,10.32,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.02345992811024189,0.0031130192801356316,-0.008749818429350853,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.732,TAKEOFF,-2.125530232992131,59.98719151747844,0,10.356,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.023703811690211296,0.002919682301580906,-0.008617682382464409,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
