t,phase,clearance,horizontal_error_gt,tag_valid,tag_age,tag_weight,yolo_visible,yolo_confidence,coarse_vx,coarse_vy,tag_vx,tag_vy,cmd_vx,cmd_vy,cmd_vz,uav_x,uav_y,uav_z,vehicle_x,vehicle_y,mode,armed
0.712,TAKEOFF,-2.216128299718455,60.36377912103745,0,8.876,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.003040874609723687,-0.01008254662156105,-0.011736574582755566,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.744,TAKEOFF,-2.221134957549233,60.36422970466187,0,8.908,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.003196568228304386,-0.010232020169496536,-0.01158454641699791,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.784,TAKEOFF,-2.2271970502286242,60.36486883311289,0,8.948,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0033280826173722744,-0.010399287566542625,-0.011367245577275753,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.816,TAKEOFF,-2.2318716312345344,60.36535960496086,0,8.98,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0034587429836392403,-0.010599697008728981,-0.011162513867020607,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.84,TAKEOFF,-2.2352659890124595,60.36585561951986,0,9.004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0034587429836392403,-0.010599697008728981,-0.011162513867020607,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.884,TAKEOFF,-2.2412195606683722,60.36638943044713,0,9.048,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.003726709634065628,-0.011091402731835842,-0.010709906928241253,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.924,TAKEOFF,-2.2463049939846793,60.36712866377389,0,9.088,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.003862587967887521,-0.011392978020012379,-0.010464603081345558,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.96,TAKEOFF,-2.250594811285046,60.3676702718819,0,9.124,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.00403654295951128,-0.011846008710563183,-0.010034195147454739,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
1.0,TAKEOFF,-2.255021352595277,60.36826925027177,0,9.164,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0041808998212218285,-0.012245326302945614,-0.009722882881760597,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
1.032,TAKEOFF,-2.2582911996432076,60.36874630112563,0,9.196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.00432306993752718,-0.012662839144468307,-0.009525638073682785,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
1.072,TAKEOFF,-2.26202284192079,60.369499886914106,0,9.236,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0043000346049666405,-0.012831916101276875,-0.009017483331263065,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
1.108,TAKEOFF,-2.2650297272265294,60.37011325838389,0,9.272,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.004056877922266722,-0.012400947511196136,-0.008645137771964073,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
1.144,TAKEOFF,-2.267691395896614,60.37068842686131,0,9.308,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.003767920657992363,-0.01197823416441679,-0.00827255379408598,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
1.18,TAKEOFF,-2.269997527095618,60.37114004480704,0,9.344,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0035548871383070946,-0.011724073439836502,-0.0080341137945652,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
1.216,TAKEOFF,-2.2719391787232666,60.37163864731107,0,9.38,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.00336797209456563,-0.01152834203094244,-0.007825316861271858,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
1.248,TAKEOFF,-2.2733529898551352,60.37208106853051,0,9.412,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0032030362635850906,-0.011388283222913742,-0.007713086437433958,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
1.292,TAKEOFF,-2.2748092111928493,60.37255178731246,0,9.456,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.003427062416449189,-0.010806991718709469,-0.0066117458045482635,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.312,TAKEOFF,-2.2752823417829444,60.37260666588852,0,9.475999999999999,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0036578914150595665,-0.010309088043868542,-0.005533220712095499,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.332,TAKEOFF,-2.2756366272886352,60.37312604631683,0,9.496,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0036578914150595665,-0.010309088043868542,-0.005533220712095499,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.3599999999999999,TAKEOFF,-2.2759321871787597,60.37352624289219,0,9.524000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.003958008252084255,-0.009795479476451874,-0.004344915971159935,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.392,TAKEOFF,-2.2759828875476207,60.37398180854541,0,9.556000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.004191610496491194,-0.009474614635109901,-0.0035333866253495216,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.428,TAKEOFF,-2.275673779682606,60.37449201964931,0,9.592,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.004431640263646841,-0.009238841012120247,-0.002848968608304858,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.46,TAKEOFF,-2.2750744858871474,60.37494349332696,0,9.624,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.00467770965769887,-0.009082856588065624,-0.0022573345340788364,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.492,TAKEOFF,-2.2741716331086446,60.37507332541635,0,9.656,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.004997056443244219,-0.008979538455605507,-0.00173326360527426,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.528,TAKEOFF,-2.2727965562311914,60.37589646607505,0,9.692,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.005192209500819445,-0.00896567665040493,-0.0014762966893613338,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.56,TAKEOFF,-2.2712589730509016,60.376341903136556,0,9.724,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.005531094036996365,-0.00900060124695301,-0.001195769407786429,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.592,TAKEOFF,-2.2694295214231883,60.37678540370891,0,9.756,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.005810628645122051,-0.009085689671337605,-0.0009775138460099697,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.6280000000000001,TAKEOFF,-2.2670295281687727,60.37728202442583,0,9.792,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.006098245736211538,-0.009225529618561268,-0.0006603100337088108,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.6600000000000001,TAKEOFF,-2.2645995591920665,60.37772140251976,0,9.824,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0063645984046161175,-0.009398678317666054,-0.0004655968805309385,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.692,TAKEOFF,-2.2618981259863653,60.37815883711301,0,9.856,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.006396956741809845,-0.008997722528874874,0.0008853089530020952,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.728,TAKEOFF,-2.258544866440091,60.37864862508268,0,9.892,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.006431932561099529,-0.00868073757737875,0.001976811094209552,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.76,TAKEOFF,-2.255295057126487,60.379081922267915,0,9.924,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0064936610870063305,-0.008375785313546658,0.0031740188132971525,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.792,TAKEOFF,-2.2518022919046774,60.379513268864805,0,9.956,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.006547003053128719,-0.008210623636841774,0.004105336032807827,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.8279999999999998,TAKEOFF,-2.247595875967935,60.37999619969555,0,9.992,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0066095092333853245,-0.008123177103698254,0.0049467370845377445,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.8599999999999999,TAKEOFF,-2.2436232474430495,60.380423394203454,0,10.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0066848392598330975,-0.008092868141829967,0.0057381028309464455,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
1.892,TAKEOFF,-2.239443424831027,60.38084863123649,0,10.056,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.006772578228265047,-0.008115759119391441,0.006365170236676931,10.000000083512225,1.5435317252992384e-11,OFFBOARD,1
