run_id,target_speed,t,x_gt,y_gt,z_gt,vx_gt,vy_gt,vz_gt,speed_gt,roll_gt,pitch_gt,yaw_gt,angular_speed_gt,tag_visible,tag_x_map_visual,tag_y_map_visual,tag_error_x_vs_gt,tag_error_y_vs_gt,yolo_detected,yolo_confidence,yolo_center_x,yolo_center_y
vehicle_motion_0p5,0.5,36.38,25.767951703003583,8.408085979364728e-08,0.04999999016044743,0.5000021261534193,-6.464474401984416e-10,-1.5568864259775443e-06,0.5000021261534193,4.3751806291060604e-09,-9.022651209664647e-10,-4.1549131420790115e-08,2.125806599396006e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,36.432,25.793951718898906,8.405799099344247e-08,0.04999999648601694,0.4999987101099273,-2.5972644577950614e-10,1.5905413449607021e-06,0.4999987101099273,-3.984899371201827e-09,8.695468870733864e-10,-4.154272795309964e-08,2.12658320748165e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,36.484,25.819951750792004,8.403355954900095e-08,0.04999999016044743,0.5000020964499284,-6.464474392489177e-10,-1.5568864259150942e-06,0.5000020964499284,4.3751806282035625e-09,-9.022651197079897e-10,-4.153559926811639e-08,2.125806599164049e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,36.536,25.84595173957665,8.401069074880893e-08,0.04999999648601694,0.499997776591771,-2.59726445782259e-10,1.5905413449187357e-06,0.499997776591771,-3.984899368010771e-09,8.695468858163573e-10,-4.1529195800430326e-08,2.1265832064897036e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,36.588,25.87195174076751,8.39862593043583e-08,0.04999999016044743,0.5000019799589227,-6.464474404959619e-10,-1.5568864259844832e-06,0.5000019799589227,4.375180628523488e-09,-9.022651200546197e-10,-4.152206711544417e-08,2.125806599409579e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,36.64,25.897951725125438,8.396339050416711e-08,0.04999999648601694,0.49999771418633476,-2.597264458197402e-10,1.5905413449192354e-06,0.49999771418633476,-3.984899370123068e-09,8.695468870059165e-10,-4.151566364775851e-08,2.126583207425224e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,36.692,25.923951727146942,8.39389590597157e-08,0.04999999016044743,0.5000019966372554,-6.464474394210771e-10,-1.556886425991422e-06,0.5000019966372554,4.375180628042234e-09,-9.022651206348198e-10,-4.1508534962772206e-08,2.1258065985207377e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,36.744,25.94995173730613,8.391609025951327e-08,0.04999999648601694,0.4999985577609308,-2.5972644580428185e-10,1.5905413449053576e-06,0.4999985577609308,-3.984899369054928e-09,8.69546885641095e-10,-4.150213149508295e-08,2.1265832073213375e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,36.796,25.97595175532742,8.389165881507663e-08,0.04999999016044743,0.5000018517816794,-6.464474388463653e-10,-1.5568864259288054e-06,0.5000018517816794,4.375180628879933e-09,-9.022651197543195e-10,-4.149500281010173e-08,2.12580659917702e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,36.848,26.00195173240162,8.386879001488671e-08,0.04999999648601694,0.49999757444318427,-2.5972644580131723e-10,1.5905413448911467e-06,0.49999757444318427,-3.984899367687297e-09,8.695468856347598e-10,-4.148859934241678e-08,2.1265832063916574e-06,False,,,,,False,,,
